year,population,country,species,flag
2005,16,Benin,Camelidae,woah001
2005,1762600,Benin,Cattle,woah001
2005,1100,Benin,Equidae,woah001
2005,1385600,Benin,Goats,woah001
2005,108150,Benin,Hares / rabbits,woah001
2005,2109600,Benin,Sheep / goats,woah001
2005,724000,Benin,Sheep,woah001
2005,302500,Benin,Swine,woah001
2005,46916529,Burkina Faso,Birds,woah001
2005,15225,Burkina Faso,Camelidae,woah001
2005,7591400,Burkina Faso,Cattle,woah001
2005,988204,Burkina Faso,Equidae,woah001
2005,10979000,Burkina Faso,Goats,woah001
2005,0,Burkina Faso,Sheep / goats,woah001
2005,7765900,Burkina Faso,Sheep,woah001
2005,1954900,Burkina Faso,Swine,woah001
2005,604477,Bulgaria,Bees,woah001
2005,19177126,Bulgaria,Birds,woah001
2005,7229,Bulgaria,Buffaloes,woah001
2005,22,Bulgaria,Camelidae,woah001
2005,535533,Bulgaria,Cattle,woah001
2005,87281,Bulgaria,Cervidae,woah001
2005,385377,Bulgaria,Dogs,woah001
2005,223096,Bulgaria,Equidae,woah001
2005,837920,Bulgaria,Goats,woah001
2005,305409,Bulgaria,Hares / rabbits,woah001
2005,305409,Bulgaria,Rabbits,woah001
2005,2766732,Bulgaria,Sheep / goats,woah001
2005,1928812,Bulgaria,Sheep,woah001
2005,1080519,Bulgaria,Swine,woah001
2005,500000,Bahrain,Birds,woah001
2005,0,Bahrain,Buffaloes,woah001
2005,2000,Bahrain,Camelidae,woah001
2005,10000,Bahrain,Cattle,woah001
2005,4000,Bahrain,Equidae,woah001
2005,25000,Bahrain,Goats,woah001
2005,65000,Bahrain,Sheep / goats,woah001
2005,40000,Bahrain,Sheep,woah001
2005,0,Bahrain,Swine,woah001
2005,8780,Bosnia and Herzegovina,Bees,woah001
2005,540464,Bosnia and Herzegovina,Birds,woah001
2005,0,Bosnia and Herzegovina,Buffaloes,woah001
2005,0,Bosnia and Herzegovina,Camelidae,woah001
2005,428248,Bosnia and Herzegovina,Cattle,woah001
2005,7247,Bosnia and Herzegovina,Dogs,woah001
2005,9179,Bosnia and Herzegovina,Equidae,woah001
2005,50505,Bosnia and Herzegovina,Goats,woah001
2005,42,Bosnia and Herzegovina,Hares / rabbits,woah001
2005,0,Bosnia and Herzegovina,Rabbits,woah001
2005,821952,Bosnia and Herzegovina,Sheep / goats,woah001
2005,771447,Bosnia and Herzegovina,Sheep,woah001
2005,467107,Bosnia and Herzegovina,Swine,woah001
2005,199700,Belarus,Bees,woah001
2005,28476100,Belarus,Birds,woah001
2005,3980100,Belarus,Cattle,woah001
2005,167600,Belarus,Equidae,woah001
2005,67600,Belarus,Goats,woah001
2005,181400,Belarus,Hares / rabbits,woah001
2005,123700,Belarus,Sheep / goats,woah001
2005,56100,Belarus,Sheep,woah001
2005,3545000,Belarus,Swine,woah001
2005,1564,Belize,Bees,woah001
2005,8500000,Belize,Birds,woah001
2005,75339,Belize,Cattle,woah001
2005,5842,Belize,Sheep / goats,woah001
2005,14533,Belize,Swine,woah001
2005,21060050,Bolivia (Plurinational State of),Birds,woah001
2005,7546,Bolivia (Plurinational State of),Buffaloes,woah001
2005,2657795,Bolivia (Plurinational State of),Camelidae,woah001
2005,6424941,Bolivia (Plurinational State of),Cattle,woah001
2005,0,Bolivia (Plurinational State of),Dogs,woah001
2005,345990,Bolivia (Plurinational State of),Equidae,woah001
2005,1365879,Bolivia (Plurinational State of),Goats,woah001
2005,7920986,Bolivia (Plurinational State of),Sheep / goats,woah001
2005,6555107,Bolivia (Plurinational State of),Sheep,woah001
2005,1047771,Bolivia (Plurinational State of),Swine,woah001
2005,4805849600,Brazil,Birds,woah001
2005,1163014,Brazil,Buffaloes,woah001
2005,2443792,Brazil,Cats,woah001
2005,202591377,Brazil,Cattle,woah001
2005,20943594,Brazil,Dogs,woah001
2005,5787250,Brazil,Equidae,woah001
2005,10880519,Brazil,Goats,woah001
2005,25889321,Brazil,Sheep / goats,woah001
2005,15008802,Brazil,Sheep,woah001
2005,23384771,Brazil,Swine,woah001
2005,0,Barbados,Bees,woah001
2005,8000000,Barbados,Birds,woah001
2005,0,Barbados,Buffaloes,woah001
2005,0,Barbados,Camelidae,woah001
2005,12000,Barbados,Cattle,woah001
2005,0,Barbados,Cervidae,woah001
2005,3000,Barbados,Equidae,woah001
2005,4000,Barbados,Goats,woah001
2005,1000,Barbados,Rabbits,woah001
2005,35000,Barbados,Sheep,woah001
2005,35000,Barbados,Swine,woah001
2005,10302177,Brunei Darussalam,Birds,woah001
2005,4824,Brunei Darussalam,Buffaloes,woah001
2005,0,Brunei Darussalam,Camelidae,woah001
2005,1187,Brunei Darussalam,Cattle,woah001
2005,2639,Brunei Darussalam,Goats,woah001
2005,0,Brunei Darussalam,Swine,woah001
2005,161108,Bhutan,Birds,woah001
2005,22135,Bhutan,Cats,woah001
2005,371336,Bhutan,Cattle,woah001
2005,27497,Bhutan,Dogs,woah001
2005,24608,Bhutan,Equidae,woah001
2005,20507,Bhutan,Goats,woah001
2005,17612,Bhutan,Sheep,woah001
2005,28161,Bhutan,Swine,woah001
2005,813,Botswana,Bees,woah001
2005,31000000,Botswana,Birds,woah001
2005,0,Botswana,Buffaloes,woah001
2005,120,Botswana,Camelidae,woah001
2005,1815365,Botswana,Cattle,woah001
2005,0,Botswana,Cervidae,woah001
2005,1400000,Botswana,Goats,woah001
2005,1600000,Botswana,Sheep / goats,woah001
2005,200000,Botswana,Sheep,woah001
2005,8573,Botswana,Swine,woah001
2005,4769000,Central African Republic,Birds,woah001
2005,0,Central African Republic,Camelidae,woah001
2005,3423000,Central African Republic,Cattle,woah001
2005,3087000,Central African Republic,Goats,woah001
2005,259000,Central African Republic,Sheep,woah001
2005,805000,Central African Republic,Swine,woah001
2005,615541,Canada,Bees,woah001
2005,265746912,Canada,Birds,woah001
2005,145094,Canada,Buffaloes,woah001
2005,25782,Canada,Camelidae,woah001
2005,14830000,Canada,Cattle,woah001
2005,127736,Canada,Cervidae,woah001
2005,460569,Canada,Equidae,woah001
2005,182851,Canada,Goats,woah001
2005,255762,Canada,Hares / rabbits,woah001
2005,0,Canada,Rabbits,woah001
2005,1077851,Canada,Sheep / goats,woah001
2005,895000,Canada,Sheep,woah001
2005,14730000,Canada,Swine,woah001
2005,200000,Switzerland,Bees,woah001
2005,8180000,Switzerland,Birds,woah001
2005,260,Switzerland,Buffaloes,woah001
2005,0,Switzerland,Camelidae,woah001
2005,1350000,Switzerland,Cats,woah001
2005,1557000,Switzerland,Cattle,woah001
2005,8400,Switzerland,Cervidae,woah001
2005,500000,Switzerland,Dogs,woah001
2005,74000,Switzerland,Goats,woah001
2005,33400,Switzerland,Hares / rabbits,woah001
2005,0,Switzerland,Rabbits,woah001
2005,520000,Switzerland,Sheep / goats,woah001
2005,446000,Switzerland,Sheep,woah001
2005,1620000,Switzerland,Swine,woah001
2005,331525,Chile,Bees,woah001
2005,39247593,Chile,Birds,woah001
2005,0,Chile,Buffaloes,woah001
2005,124654,Chile,Camelidae,woah001
2005,4757859,Chile,Cattle,woah001
2005,0,Chile,Cervidae,woah001
2005,0,Chile,Dogs,woah001
2005,408186,Chile,Equidae,woah001
2005,1253574,Chile,Goats,woah001
2005,62698,Chile,Hares / rabbits,woah001
2005,0,Chile,Rabbits,woah001
2005,4964033,Chile,Sheep / goats,woah001
2005,3710459,Chile,Sheep,woah001
2005,1722407,Chile,Swine,woah001
2005,15203485500,China,Birds,woah001
2005,39900,China,Buffaloes,woah001
2005,194451300,China,Cattle,woah001
2005,680703700,China,Sheep / goats,woah001
2005,1164334300,China,Swine,woah001
2005,0,Côte d'Ivoire,Bees,woah001
2005,27000000,Côte d'Ivoire,Birds,woah001
2005,1449000,Côte d'Ivoire,Cattle,woah001
2005,92000,Côte d'Ivoire,Dogs,woah001
2005,1208000,Côte d'Ivoire,Goats,woah001
2005,0,Côte d'Ivoire,Rabbits,woah001
2005,1537000,Côte d'Ivoire,Sheep,woah001
2005,318000,Côte d'Ivoire,Swine,woah001
2005,40000000,Cameroon,Birds,woah001
2005,0,Cameroon,Buffaloes,woah001
2005,6250000,Cameroon,Cattle,woah001
2005,50000,Cameroon,Dogs,woah001
2005,175000,Cameroon,Equidae,woah001
2005,4250000,Cameroon,Goats,woah001
2005,3750000,Cameroon,Sheep,woah001
2005,1800000,Cameroon,Swine,woah001
2005,19769000,Democratic Republic of the Congo,Birds,woah001
2005,756940,Democratic Republic of the Congo,Cattle,woah001
2005,4015901,Democratic Republic of the Congo,Goats,woah001
2005,0,Democratic Republic of the Congo,Sheep / goats,woah001
2005,899570,Democratic Republic of the Congo,Sheep,woah001
2005,959080,Democratic Republic of the Congo,Swine,woah001
2005,2184600,Congo,Birds,woah001
2005,0,Congo,Buffaloes,woah001
2005,0,Congo,Camelidae,woah001
2005,36000,Congo,Cattle,woah001
2005,0,Congo,Cervidae,woah001
2005,38600,Congo,Hares / rabbits,woah001
2005,0,Congo,Sheep / goats,woah001
2005,110600,Congo,Swine,woah001
2005,155000,Colombia,Bees,woah001
2005,136207602,Colombia,Birds,woah001
2005,59030,Colombia,Buffaloes,woah001
2005,22207451,Colombia,Cattle,woah001
2005,0,Colombia,Dogs,woah001
2005,1799844,Colombia,Equidae,woah001
2005,1401780,Colombia,Goats,woah001
2005,2985889,Colombia,Sheep / goats,woah001
2005,1584109,Colombia,Sheep,woah001
2005,3263420,Colombia,Swine,woah001
2005,343120,Cabo Verde,Birds,woah001
2005,22306,Cabo Verde,Cattle,woah001
2005,11302,Cabo Verde,Equidae,woah001
2005,148094,Cabo Verde,Goats,woah001
2005,4458,Cabo Verde,Hares / rabbits,woah001
2005,10400,Cabo Verde,Sheep,woah001
2005,77316,Cabo Verde,Swine,woah001
2005,0,Costa Rica,Bees,woah001
2005,15487572,Costa Rica,Birds,woah001
2005,1369915,Costa Rica,Cattle,woah001
2005,297359,Costa Rica,Swine,woah001
2005,127169,Cuba,Bees,woah001
2005,27279008,Cuba,Birds,woah001
2005,48435,Cuba,Buffaloes,woah001
2005,64,Cuba,Camelidae,woah001
2005,3703660,Cuba,Cattle,woah001
2005,30673,Cuba,Cervidae,woah001
2005,612964,Cuba,Goats,woah001
2005,604863,Cuba,Hares / rabbits,woah001
2005,2097295,Cuba,Sheep / goats,woah001
2005,1484331,Cuba,Sheep,woah001
2005,0,Cuba,Swine,woah001
2005,2994,Cayman Islands,Birds,woah001
2005,1408,Cayman Islands,Cattle,woah001
2005,5000,Cayman Islands,Dogs,woah001
2005,245,Cayman Islands,Equidae,woah001
2005,1850,Cayman Islands,Goats,woah001
2005,300,Cayman Islands,Swine,woah001
2005,40533,Cyprus,Bees,woah001
2005,12632283,Cyprus,Birds,woah001
2005,0,Cyprus,Buffaloes,woah001
2005,0,Cyprus,Camelidae,woah001
2005,61432,Cyprus,Cattle,woah001
2005,0,Cyprus,Cervidae,woah001
2005,27718,Cyprus,Dogs,woah001
2005,3800,Cyprus,Equidae,woah001
2005,190800,Cyprus,Hares / rabbits,woah001
2005,0,Cyprus,Rabbits,woah001
2005,588756,Cyprus,Sheep / goats,woah001
2005,429876,Cyprus,Swine,woah001
2005,551681,Czechia,Bees,woah001
2005,198000000,Czechia,Birds,woah001
2005,0,Czechia,Buffaloes,woah001
2005,0,Czechia,Camelidae,woah001
2005,1397308,Czechia,Cattle,woah001
2005,20561,Czechia,Equidae,woah001
2005,12623,Czechia,Goats,woah001
2005,6000000,Czechia,Hares / rabbits,woah001
2005,6000000,Czechia,Rabbits,woah001
2005,152820,Czechia,Sheep / goats,woah001
2005,140197,Czechia,Sheep,woah001
2005,2879834,Czechia,Swine,woah001
2005,1000000,Germany,Bees,woah001
2005,120560200,Germany,Birds,woah001
2005,13034500,Germany,Cattle,woah001
2005,500400,Germany,Equidae,woah001
2005,170000,Germany,Goats,woah001
2005,2812400,Germany,Sheep / goats,woah001
2005,2642400,Germany,Sheep,woah001
2005,26857800,Germany,Swine,woah001
2005,6000,Djibouti,Birds,woah001
2005,50000,Djibouti,Camelidae,woah001
2005,40000,Djibouti,Cattle,woah001
2005,600000,Djibouti,Goats,woah001
2005,400000,Djibouti,Sheep,woah001
2005,180000,Denmark,Bees,woah001
2005,29812776,Denmark,Birds,woah001
2005,64,Denmark,Buffaloes,woah001
2005,0,Denmark,Camelidae,woah001
2005,650000,Denmark,Cats,woah001
2005,1626758,Denmark,Cattle,woah001
2005,18399,Denmark,Cervidae,woah001
2005,550000,Denmark,Dogs,woah001
2005,47332,Denmark,Equidae,woah001
2005,21464,Denmark,Goats,woah001
2005,215805,Denmark,Sheep / goats,woah001
2005,194341,Denmark,Sheep,woah001
2005,14537698,Denmark,Swine,woah001
2005,77642,Dominican Republic,Bees,woah001
2005,18044238,Dominican Republic,Birds,woah001
2005,45,Dominican Republic,Buffaloes,woah001
2005,7,Dominican Republic,Camelidae,woah001
2005,1904401,Dominican Republic,Cattle,woah001
2005,0,Dominican Republic,Cervidae,woah001
2005,179967,Dominican Republic,Equidae,woah001
2005,163489,Dominican Republic,Goats,woah001
2005,55303,Dominican Republic,Hares / rabbits,woah001
2005,0,Dominican Republic,Rabbits,woah001
2005,268943,Dominican Republic,Sheep / goats,woah001
2005,105454,Dominican Republic,Sheep,woah001
2005,538599,Dominican Republic,Swine,woah001
2005,630000,Algeria,Bees,woah001
2005,110000000,Algeria,Birds,woah001
2005,0,Algeria,Buffaloes,woah001
2005,268560,Algeria,Camelidae,woah001
2005,1560545,Algeria,Cattle,woah001
2005,76,Algeria,Cervidae,woah001
2005,0,Algeria,Dogs,woah001
2005,243672,Algeria,Equidae,woah001
2005,3589880,Algeria,Goats,woah001
2005,50000,Algeria,Hares / rabbits,woah001
2005,18909110,Algeria,Sheep,woah001
2005,0,Algeria,Swine,woah001
2005,315653,Ecuador,Bees,woah001
2005,39009474,Ecuador,Birds,woah001
2005,5000,Ecuador,Buffaloes,woah001
2005,23177,Ecuador,Camelidae,woah001
2005,4486021,Ecuador,Cattle,woah001
2005,0,Ecuador,Cervidae,woah001
2005,0,Ecuador,Dogs,woah001
2005,682240,Ecuador,Equidae,woah001
2005,178328,Ecuador,Goats,woah001
2005,515725,Ecuador,Hares / rabbits,woah001
2005,1010535,Ecuador,Sheep / goats,woah001
2005,832207,Ecuador,Sheep,woah001
2005,1527111,Ecuador,Swine,woah001
2005,2377204,Egypt,Buffaloes,woah001
2005,53842,Egypt,Camelidae,woah001
2005,2963412,Egypt,Cattle,woah001
2005,1112828,Egypt,Goats,woah001
2005,3674589,Egypt,Sheep / goats,woah001
2005,2561761,Egypt,Sheep,woah001
2005,318914,Eritrea,Camelidae,woah001
2005,1927457,Eritrea,Cattle,woah001
2005,518459,Eritrea,Equidae,woah001
2005,4661785,Eritrea,Goats,woah001
2005,2128944,Eritrea,Sheep,woah001
2005,1146201,Spain,Bees,woah001
2005,197971264,Spain,Birds,woah001
2005,5912043,Spain,Cattle,woah001
2005,0,Spain,Cervidae,woah001
2005,3027628,Spain,Goats,woah001
2005,2390021,Spain,Hares / rabbits,woah001
2005,22607218,Spain,Sheep,woah001
2005,23572184,Spain,Swine,woah001
2005,4538715,Ethiopia,Bees,woah001
2005,30882360,Ethiopia,Birds,woah001
2005,1713683,Ethiopia,Camelidae,woah001
2005,40306796,Ethiopia,Cattle,woah001
2005,5903160,Ethiopia,Equidae,woah001
2005,22333172,Ethiopia,Goats,woah001
2005,47438396,Ethiopia,Sheep / goats,woah001
2005,25105224,Ethiopia,Sheep,woah001
2005,53000,Finland,Bees,woah001
2005,10538200,Finland,Birds,woah001
2005,0,Finland,Buffaloes,woah001
2005,0,Finland,Camelidae,woah001
2005,0,Finland,Cats,woah001
2005,958900,Finland,Cattle,woah001
2005,209365,Finland,Cervidae,woah001
2005,620000,Finland,Dogs,woah001
2005,70000,Finland,Equidae,woah001
2005,6944,Finland,Goats,woah001
2005,0,Finland,Hares / rabbits,woah001
2005,0,Finland,Rabbits,woah001
2005,0,Finland,Sheep / goats,woah001
2005,89737,Finland,Sheep,woah001
2005,1401071,Finland,Swine,woah001
2005,0,Falkland Islands (Malvinas),Bees,woah001
2005,5252,Falkland Islands (Malvinas),Birds,woah001
2005,0,Falkland Islands (Malvinas),Buffaloes,woah001
2005,300,Falkland Islands (Malvinas),Camelidae,woah001
2005,6259,Falkland Islands (Malvinas),Cattle,woah001
2005,639,Falkland Islands (Malvinas),Dogs,woah001
2005,724,Falkland Islands (Malvinas),Equidae,woah001
2005,0,Falkland Islands (Malvinas),Hares / rabbits,woah001
2005,0,Falkland Islands (Malvinas),Rabbits,woah001
2005,533451,Falkland Islands (Malvinas),Sheep,woah001
2005,113,Falkland Islands (Malvinas),Swine,woah001
2005,1142021,France,Bees,woah001
2005,280688896,France,Birds,woah001
2005,1113,France,Buffaloes,woah001
2005,9700000,France,Cats,woah001
2005,19428575,France,Cattle,woah001
2005,8600000,France,Dogs,woah001
2005,402149,France,Equidae,woah001
2005,1247368,France,Goats,woah001
2005,897951,France,Hares / rabbits,woah001
2005,0,France,Sheep / goats,woah001
2005,8786785,France,Sheep,woah001
2005,14689602,France,Swine,woah001
2005,273750,United Kingdom of Great Britain and Northern Ireland,Bees,woah001
2005,156294380,United Kingdom of Great Britain and Northern Ireland,Birds,woah001
2005,3213,United Kingdom of Great Britain and Northern Ireland,Buffaloes,woah001
2005,8726793,United Kingdom of Great Britain and Northern Ireland,Cattle,woah001
2005,1401,United Kingdom of Great Britain and Northern Ireland,Cervidae,woah001
2005,336488,United Kingdom of Great Britain and Northern Ireland,Equidae,woah001
2005,93605,United Kingdom of Great Britain and Northern Ireland,Goats,woah001
2005,34759849,United Kingdom of Great Britain and Northern Ireland,Sheep / goats,woah001
2005,33270895,United Kingdom of Great Britain and Northern Ireland,Sheep,woah001
2005,4456854,United Kingdom of Great Britain and Northern Ireland,Swine,woah001
2005,170000,Georgia,Bees,woah001
2005,9355400,Georgia,Birds,woah001
2005,0,Georgia,Camelidae,woah001
2005,1252073,Georgia,Cattle,woah001
2005,833591,Georgia,Sheep / goats,woah001
2005,406264,Georgia,Swine,woah001
2005,31266412,Ghana,Birds,woah001
2005,1373088,Ghana,Cattle,woah001
2005,0,Ghana,Dogs,woah001
2005,2605,Ghana,Equidae,woah001
2005,3923482,Ghana,Goats,woah001
2005,3211183,Ghana,Sheep,woah001
2005,289987,Ghana,Swine,woah001
2005,183045,Guinea,Bees,woah001
2005,517006,Guinea,Birds,woah001
2005,3756353,Guinea,Cattle,woah001
2005,4916,Guinea,Equidae,woah001
2005,1395650,Guinea,Goats,woah001
2005,2100,Guinea,Hares / rabbits,woah001
2005,0,Guinea,Rabbits,woah001
2005,0,Guinea,Sheep / goats,woah001
2005,1168743,Guinea,Sheep,woah001
2005,74784,Guinea,Swine,woah001
2005,0,Guadeloupe,Buffaloes,woah001
2005,0,Guadeloupe,Camelidae,woah001
2005,75830,Guadeloupe,Cattle,woah001
2005,31000,Guadeloupe,Goats,woah001
2005,2250,Guadeloupe,Sheep,woah001
2005,20500,Guadeloupe,Swine,woah001
2005,600000,Guinea-Bissau,Birds,woah001
2005,510000,Guinea-Bissau,Cattle,woah001
2005,2000,Guinea-Bissau,Equidae,woah001
2005,205000,Guinea-Bissau,Goats,woah001
2005,500000,Guinea-Bissau,Sheep / goats,woah001
2005,235000,Guinea-Bissau,Sheep,woah001
2005,70000,Guinea-Bissau,Swine,woah001
2005,1505140,Greece,Bees,woah001
2005,33410198,Greece,Birds,woah001
2005,1422,Greece,Buffaloes,woah001
2005,704736,Greece,Cattle,woah001
2005,914,Greece,Cervidae,woah001
2005,95465,Greece,Equidae,woah001
2005,5668705,Greece,Goats,woah001
2005,1322295,Greece,Hares / rabbits,woah001
2005,15120757,Greece,Sheep / goats,woah001
2005,9452052,Greece,Sheep,woah001
2005,1377172,Greece,Swine,woah001
2005,2,Greenland,Bees,woah001
2005,200,Greenland,Birds,woah001
2005,0,Greenland,Buffaloes,woah001
2005,0,Greenland,Camelidae,woah001
2005,600,Greenland,Cats,woah001
2005,20,Greenland,Cattle,woah001
2005,3500,Greenland,Cervidae,woah001
2005,20000,Greenland,Dogs,woah001
2005,200,Greenland,Equidae,woah001
2005,0,Greenland,Goats,woah001
2005,0,Greenland,Hares / rabbits,woah001
2005,21333,Greenland,Sheep,woah001
2005,0,Greenland,Swine,woah001
2005,65000,Guatemala,Bees,woah001
2005,143500000,Guatemala,Birds,woah001
2005,4200,Guatemala,Buffaloes,woah001
2005,55,Guatemala,Camelidae,woah001
2005,2000,Guatemala,Cats,woah001
2005,2500000,Guatemala,Cattle,woah001
2005,11000,Guatemala,Cervidae,woah001
2005,1800000,Guatemala,Dogs,woah001
2005,190000,Guatemala,Equidae,woah001
2005,128000,Guatemala,Goats,woah001
2005,10500,Guatemala,Hares / rabbits,woah001
2005,0,Guatemala,Rabbits,woah001
2005,450000,Guatemala,Sheep / goats,woah001
2005,322000,Guatemala,Sheep,woah001
2005,1600000,Guatemala,Swine,woah001
2005,239,French Guiana,Bees,woah001
2005,12500,French Guiana,Birds,woah001
2005,600,French Guiana,Buffaloes,woah001
2005,0,French Guiana,Camelidae,woah001
2005,11979,French Guiana,Cattle,woah001
2005,0,French Guiana,Cervidae,woah001
2005,200,French Guiana,Dogs,woah001
2005,691,French Guiana,Equidae,woah001
2005,1026,French Guiana,Goats,woah001
2005,400,French Guiana,Hares / rabbits,woah001
2005,600,French Guiana,Sheep / goats,woah001
2005,1583,French Guiana,Sheep,woah001
2005,1451,French Guiana,Swine,woah001
2005,367,Guyana,Bees,woah001
2005,13000000,Guyana,Birds,woah001
2005,4153,Guyana,Buffaloes,woah001
2005,0,Guyana,Camelidae,woah001
2005,493000,Guyana,Cattle,woah001
2005,0,Guyana,Cervidae,woah001
2005,169000,Guyana,Goats,woah001
2005,3121,Guyana,Hares / rabbits,woah001
2005,291000,Guyana,Sheep,woah001
2005,315000,Guyana,Swine,woah001
2005,0,Hong Kong,Bees,woah001
2005,2432943,Hong Kong,Birds,woah001
2005,0,Hong Kong,Buffaloes,woah001
2005,0,Hong Kong,Camelidae,woah001
2005,0,Hong Kong,Cattle,woah001
2005,0,Hong Kong,Cervidae,woah001
2005,0,Hong Kong,Goats,woah001
2005,0,Hong Kong,Hares / rabbits,woah001
2005,0,Hong Kong,Sheep / goats,woah001
2005,0,Hong Kong,Sheep,woah001
2005,363204,Hong Kong,Swine,woah001
2005,26056431,Honduras,Birds,woah001
2005,101000,Croatia,Bees,woah001
2005,10477514,Croatia,Birds,woah001
2005,0,Croatia,Buffaloes,woah001
2005,0,Croatia,Camelidae,woah001
2005,320000,Croatia,Cats,woah001
2005,398037,Croatia,Cattle,woah001
2005,10000,Croatia,Cervidae,woah001
2005,350000,Croatia,Dogs,woah001
2005,14968,Croatia,Equidae,woah001
2005,203340,Croatia,Goats,woah001
2005,456767,Croatia,Hares / rabbits,woah001
2005,954217,Croatia,Sheep / goats,woah001
2005,750877,Croatia,Sheep,woah001
2005,1726895,Croatia,Swine,woah001
2005,1283701504,Indonesia,Birds,woah001
2005,2428191,Indonesia,Buffaloes,woah001
2005,11053474,Indonesia,Cattle,woah001
2005,405446,Indonesia,Equidae,woah001
2005,13182064,Indonesia,Goats,woah001
2005,21488992,Indonesia,Sheep / goats,woah001
2005,8306928,Indonesia,Sheep,woah001
2005,6267373,Indonesia,Swine,woah001
2005,489012000,India,Birds,woah001
2005,97922000,India,Buffaloes,woah001
2005,632000,India,Camelidae,woah001
2005,185181000,India,Cattle,woah001
2005,1577000,India,Equidae,woah001
2005,124358000,India,Goats,woah001
2005,61469000,India,Sheep,woah001
2005,13519000,India,Swine,woah001
2005,21000,Ireland,Bees,woah001
2005,13000000,Ireland,Birds,woah001
2005,100,Ireland,Buffaloes,woah001
2005,0,Ireland,Camelidae,woah001
2005,7062000,Ireland,Cattle,woah001
2005,0,Ireland,Cervidae,woah001
2005,5500,Ireland,Goats,woah001
2005,0,Ireland,Hares / rabbits,woah001
2005,3700000,Ireland,Sheep,woah001
2005,1600000,Ireland,Swine,woah001
2005,2809743,Iran (Islamic Republic of),Bees,woah001
