iso3,country,year,species,population,flag
AUS,Australia,1995,"Cattle",25731221,
AUS,Australia,1995,"Cattle, dairy",2740094,
AUS,Australia,1995,"Cattle, non-dairy",22991127,
AUS,Australia,1995,"Goats",132819,
AUS,Australia,1995,"Horses",237685,
AUS,Australia,1995,"Mules and Asses",1599,
AUS,Australia,1995,"Sheep and Goats",120994511,
AUS,Australia,1995,"Sheep",120861692,
AUS,Australia,1995,"Swine",2652813,
AUS,Australia,1996,"Buffaloes",8850,
AUS,Australia,1996,"Camels",922,
AUS,Australia,1996,"Cattle",26377349,
AUS,Australia,1996,"Cattle, dairy",2808028,
AUS,Australia,1996,"Cattle, non-dairy",23569321,
AUS,Australia,1996,"Goats",154545,
AUS,Australia,1996,"Horses",235093,
AUS,Australia,1996,"Mules and Asses",1134,
AUS,Australia,1996,"Sheep and Goats",121270439,
AUS,Australia,1996,"Sheep",121115894,
AUS,Australia,1996,"Swine",2526412,
AUS,Australia,1997,"Buffaloes",9440,
AUS,Australia,1997,"Camels",1063,
AUS,Australia,1997,"Cattle",26695745,
AUS,Australia,1997,"Cattle, dairy",2959272,
AUS,Australia,1997,"Cattle, non-dairy",23736473,
AUS,Australia,1997,"Goats",176359,
AUS,Australia,1997,"Horses",233964,
AUS,Australia,1997,"Mules and Asses",767,
AUS,Australia,1997,"Sheep and Goats",120404490,
AUS,Australia,1997,"Sheep",120228131,
AUS,Australia,1997,"Swine",2555223,
AUS,Australia,1998,"Buffaloes",11248,
AUS,Australia,1998,"Camels",1446,
AUS,Australia,1998,"Cattle",26851468,
AUS,Australia,1998,"Cattle, dairy",3075728,
AUS,Australia,1998,"Cattle, non-dairy",23775740,
AUS,Australia,1998,"Goats",218947,
AUS,Australia,1998,"Horses",233337,
AUS,Australia,1998,"Mules and Asses",429,
AUS,Australia,1998,"Sheep and Goats",117710414,
AUS,Australia,1998,"Sheep",117491467,
AUS,Australia,1998,"Swine",2768346,
AUS,Australia,1999,"Buffaloes",8520,
AUS,Australia,1999,"Camels",1854,
AUS,Australia,1999,"Cattle",26577897,
AUS,Australia,1999,"Cattle, dairy",3219825,
AUS,Australia,1999,"Cattle, non-dairy",23358072,
AUS,Australia,1999,"Goats",193464,
AUS,Australia,1999,"Horses",215398,
AUS,Australia,1999,"Mules and Asses",438,
AUS,Australia,1999,"Sheep and Goats",115649522,
AUS,Australia,1999,"Sheep",115456058,
AUS,Australia,1999,"Swine",2626445,
AUS,Australia,2000,"Buffaloes",6130,
AUS,Australia,2000,"Camels",2028,
AUS,Australia,2000,"Cattle",27588396,
AUS,Australia,2000,"Cattle, dairy",3140355,
AUS,Australia,2000,"Cattle, non-dairy",24448041,
AUS,Australia,2000,"Goats",327373,
AUS,Australia,2000,"Horses",212073,
AUS,Australia,2000,"Mules and Asses",649,
AUS,Australia,2000,"Sheep and Goats",118879090,
AUS,Australia,2000,"Sheep",118551717,
AUS,Australia,2000,"Swine",2510887,
AUS,Australia,2001,"Buffaloes",7327,
AUS,Australia,2001,"Camels",2613,
AUS,Australia,2001,"Cattle",27720601,
AUS,Australia,2001,"Cattle, dairy",3217287,
AUS,Australia,2001,"Cattle, non-dairy",24503314,
AUS,Australia,2001,"Goats",391118,
AUS,Australia,2001,"Horses",223998,
AUS,Australia,2001,"Mules and Asses",856,
AUS,Australia,2001,"Sheep and Goats",111318853,
AUS,Australia,2001,"Sheep",110927735,
AUS,Australia,2001,"Swine",2748013,
AUS,Australia,2002,"Buffaloes",13609,
AUS,Australia,2002,"Camels",2577,
AUS,Australia,2002,"Cattle",27993829,
AUS,Australia,2002,"Cattle, dairy",3135335,
AUS,Australia,2002,"Cattle, non-dairy",24858494,
AUS,Australia,2002,"Goats",386697,
AUS,Australia,2002,"Horses",204265,
AUS,Australia,2002,"Mules and Asses",812,
AUS,Australia,2002,"Sheep and Goats",106443210,
AUS,Australia,2002,"Sheep",106056513,
AUS,Australia,2002,"Swine",2980185,
AUS,Australia,2003,"Buffaloes",8598,
AUS,Australia,2003,"Camels",2493,
AUS,Australia,2003,"Cattle",26901340,
AUS,Australia,2003,"Cattle, dairy",3057026,
AUS,Australia,2003,"Cattle, non-dairy",23844313,
AUS,Australia,2003,"Goats",485780,
AUS,Australia,2003,"Horses",231160,
AUS,Australia,2003,"Mules and Asses",544,
AUS,Australia,2003,"Sheep and Goats",99534554,
AUS,Australia,2003,"Sheep",99048774,
AUS,Australia,2003,"Swine",2730089,
AUS,Australia,2004,"Buffaloes",8359,
AUS,Australia,2004,"Camels",1973,
AUS,Australia,2004,"Cattle",27836294,
AUS,Australia,2004,"Cattle, dairy",3067711,
AUS,Australia,2004,"Cattle, non-dairy",24768584,
AUS,Australia,2004,"Goats",594686,
AUS,Australia,2004,"Horses",219148,
AUS,Australia,2004,"Mules and Asses",277,
AUS,Australia,2004,"Sheep and Goats",101567738,
AUS,Australia,2004,"Sheep",100973052,
AUS,Australia,2004,"Swine",2651118,
AUS,Australia,2005,"Buffaloes",6207,
AUS,Australia,2005,"Camels",1887,
AUS,Australia,2005,"Cattle",28278978,
AUS,Australia,2005,"Cattle, dairy",3073032,
AUS,Australia,2005,"Cattle, non-dairy",25205945,
AUS,Australia,2005,"Goats",461495,
AUS,Australia,2005,"Horses",221043,
AUS,Australia,2005,"Mules and Asses",289,
AUS,Australia,2005,"Sheep and Goats",101167422,
AUS,Australia,2005,"Sheep",100705926,
AUS,Australia,2005,"Swine",2675075,
AUS,Australia,2006,"Buffaloes",3247,
AUS,Australia,2006,"Camels",1813,
AUS,Australia,2006,"Cattle",28393975,
AUS,Australia,2006,"Cattle, dairy",2788483,
AUS,Australia,2006,"Cattle, non-dairy",25605492,
AUS,Australia,2006,"Goats",517668,
AUS,Australia,2006,"Horses",257123,
AUS,Australia,2006,"Mules and Asses",351,
AUS,Australia,2006,"Sheep and Goats",91543668,
AUS,Australia,2006,"Sheep",91026000,
AUS,Australia,2006,"Swine",2732956,
AUS,Australia,2007,"Buffaloes",2655,
AUS,Australia,2007,"Camels",2034,
AUS,Australia,2007,"Cattle",28036888,
AUS,Australia,2007,"Cattle, dairy",2663670,
AUS,Australia,2007,"Cattle, non-dairy",25373218,
AUS,Australia,2007,"Goats",518024,
AUS,Australia,2007,"Horses",263293,
AUS,Australia,2007,"Mules and Asses",366,
AUS,Australia,2007,"Sheep and Goats",86229202,
AUS,Australia,2007,"Sheep",85711178,
AUS,Australia,2007,"Swine",2604681,
AUS,Australia,2008,"Buffaloes",3262,
AUS,Australia,2008,"Camels",2223,
AUS,Australia,2008,"Cattle",27321122,
AUS,Australia,2008,"Cattle, dairy",2537029,
AUS,Australia,2008,"Cattle, non-dairy",24784093,
AUS,Australia,2008,"Goats",622857,
AUS,Australia,2008,"Horses",259854,
AUS,Australia,2008,"Mules and Asses",458,
AUS,Australia,2008,"Sheep and Goats",77560347,
AUS,Australia,2008,"Sheep",76937490,
AUS,Australia,2008,"Swine",2411516,
AUS,Australia,2009,"Buffaloes",8550,
AUS,Australia,2009,"Camels",2424,
AUS,Australia,2009,"Cattle",27906765,
AUS,Australia,2009,"Cattle, dairy",2612285,
AUS,Australia,2009,"Cattle, non-dairy",25294480,
AUS,Australia,2009,"Goats",727690,
AUS,Australia,2009,"Horses",256415,
AUS,Australia,2009,"Mules and Asses",576,
AUS,Australia,2009,"Sheep and Goats",73467373,
AUS,Australia,2009,"Sheep",72739683,
AUS,Australia,2009,"Swine",2301788,
AUS,Australia,2010,"Buffaloes",6479,
AUS,Australia,2010,"Camels",2760,
AUS,Australia,2010,"Cattle",26550089,
AUS,Australia,2010,"Cattle, dairy",2542359,
AUS,Australia,2010,"Cattle, non-dairy",24007730,
AUS,Australia,2010,"Goats",513268,
AUS,Australia,2010,"Horses",257967,
AUS,Australia,2010,"Mules and Asses",675,
AUS,Australia,2010,"Sheep and Goats",68598758,
AUS,Australia,2010,"Sheep",68085490,
AUS,Australia,2010,"Swine",2289336,
AUS,Australia,2011,"Buffaloes",4414,
AUS,Australia,2011,"Camels",3096,
AUS,Australia,2011,"Cattle",28506171,
AUS,Australia,2011,"Cattle, dairy",2569991,
AUS,Australia,2011,"Cattle, non-dairy",25936180,
AUS,Australia,2011,"Goats",546614,
AUS,Australia,2011,"Horses",259466,
AUS,Australia,2011,"Mules and Asses",774,
AUS,Australia,2011,"Sheep and Goats",73643521,
AUS,Australia,2011,"Sheep",73096907,
AUS,Australia,2011,"Swine",2285213,
AUS,Australia,2012,"Buffaloes",5089,
AUS,Australia,2012,"Camels",3263,
AUS,Australia,2012,"Cattle",28418422,
AUS,Australia,2012,"Cattle, dairy",2733190,
AUS,Australia,2012,"Cattle, non-dairy",25685232,
AUS,Australia,2012,"Goats",516143,
AUS,Australia,2012,"Horses",254218,
AUS,Australia,2012,"Mules and Asses",861,
AUS,Australia,2012,"Sheep and Goats",75237696,
AUS,Australia,2012,"Sheep",74721553,
AUS,Australia,2012,"Swine",2137922,
AUS,Australia,2013,"Buffaloes",5089,
AUS,Australia,2013,"Camels",3263,
AUS,Australia,2013,"Cattle",29290769,
AUS,Australia,2013,"Cattle, dairy",2833865,
AUS,Australia,2013,"Cattle, non-dairy",26456905,
AUS,Australia,2013,"Goats",516143,
AUS,Australia,2013,"Horses",254218,
AUS,Australia,2013,"Mules and Asses",861,
AUS,Australia,2013,"Sheep and Goats",76063989,
AUS,Australia,2013,"Sheep",75547846,
AUS,Australia,2013,"Swine",2098147,
AUS,Australia,2014,"Buffaloes",5089,
AUS,Australia,2014,"Camels",3263,
AUS,Australia,2014,"Cattle",29102954,
AUS,Australia,2014,"Cattle, dairy",2807174,
AUS,Australia,2014,"Cattle, non-dairy",26295780,
AUS,Australia,2014,"Goats",516143,
AUS,Australia,2014,"Horses",254218,
AUS,Australia,2014,"Mules and Asses",861,
AUS,Australia,2014,"Sheep and Goats",73128397,
AUS,Australia,2014,"Sheep",72612254,
AUS,Australia,2014,"Swine",2308218,
AUS,Australia,2015,"Buffaloes",5089,
AUS,Australia,2015,"Camels",3263,
AUS,Australia,2015,"Cattle",27412871,
AUS,Australia,2015,"Cattle, dairy",2810595,
AUS,Australia,2015,"Cattle, non-dairy",24602276,
AUS,Australia,2015,"Goats",516143,
AUS,Australia,2015,"Horses",254218,
AUS,Australia,2015,"Mules and Asses",861,
AUS,Australia,2015,"Sheep and Goats",71425789,
AUS,Australia,2015,"Sheep",70909646,
AUS,Australia,2015,"Swine",2272164,
AUS,Australia,2016,"Buffaloes",5152,
AUS,Australia,2016,"Camels",2759,
AUS,Australia,2016,"Cattle",27013671,
AUS,Australia,2016,"Cattle, dairy",2742928,
AUS,Australia,2016,"Cattle, non-dairy",24270743,
AUS,Australia,2016,"Goats",460324,
AUS,Australia,2016,"Horses",222530,
AUS,Australia,2016,"Mules and Asses",646,
AUS,Australia,2016,"Sheep and Goats",71326907,
AUS,Australia,2016,"Sheep",70866583,
AUS,Australia,2016,"Swine",2320279,
AUS,Australia,2017,"Buffaloes",5152,
AUS,Australia,2017,"Camels",2759,
AUS,Australia,2017,"Cattle",27592642,
AUS,Australia,2017,"Cattle, dairy",2681404,
AUS,Australia,2017,"Cattle, non-dairy",24911238,
AUS,Australia,2017,"Goats",460324,
AUS,Australia,2017,"Horses",222530,
AUS,Australia,2017,"Mules and Asses",646,
AUS,Australia,2017,"Sheep and Goats",76146961,
AUS,Australia,2017,"Sheep",75686638,
AUS,Australia,2017,"Swine",2515011,
AUS,Australia,2018,"Buffaloes",5152,
AUS,Australia,2018,"Camels",2759,
AUS,Australia,2018,"Cattle",27843382,
AUS,Australia,2018,"Cattle, dairy",2703882,
AUS,Australia,2018,"Cattle, non-dairy",25139500,
AUS,Australia,2018,"Goats",460324,
AUS,Australia,2018,"Horses",222530,
AUS,Australia,2018,"Mules and Asses",646,
AUS,Australia,2018,"Sheep and Goats",74542954,
AUS,Australia,2018,"Sheep",74082631,
AUS,Australia,2018,"Swine",2563148,
AUS,Australia,2019,"Buffaloes",5152,
AUS,Australia,2019,"Camels",2759,
AUS,Australia,2019,"Cattle",26105865,
AUS,Australia,2019,"Cattle, dairy",2410219,
AUS,Australia,2019,"Cattle, non-dairy",23695647,
AUS,Australia,2019,"Goats",460324,
AUS,Australia,2019,"Horses",222530,
AUS,Australia,2019,"Mules and Asses",646,
AUS,Australia,2019,"Sheep and Goats",69463552,
AUS,Australia,2019,"Sheep",69003229,
AUS,Australia,2019,"Swine",2345826,
AUT,Austria,1990,"Cattle",2583914,
AUT,Austria,1990,"Cattle, dairy",904617,
AUT,Austria,1990,"Cattle, non-dairy",1679297,
AUT,Austria,1990,"Goats",37343,
AUT,Austria,1990,"Horses",49200,
AUT,Austria,1990,"Sheep and Goats",347255,
AUT,Austria,1990,"Sheep",309912,
AUT,Austria,1990,"Swine",3687981,
AUT,Austria,1991,"Cattle",2534088,
AUT,Austria,1991,"Cattle, dairy",876000,
AUT,Austria,1991,"Cattle, non-dairy",1658088,
AUT,Austria,1991,"Goats",40923,
AUT,Austria,1991,"Horses",57803,
AUT,Austria,1991,"Sheep and Goats",367023,
AUT,Austria,1991,"Sheep",326100,
AUT,Austria,1991,"Swine",3637980,
AUT,Austria,1992,"Cattle",2400725,
AUT,Austria,1992,"Cattle, dairy",841716,
AUT,Austria,1992,"Cattle, non-dairy",1559009,
AUT,Austria,1992,"Goats",39400,
AUT,Austria,1992,"Horses",61400,
AUT,Austria,1992,"Sheep and Goats",351400,
AUT,Austria,1992,"Sheep",312000,
AUT,Austria,1992,"Swine",3719600,
AUT,Austria,1993,"Cattle",2333887,
AUT,Austria,1993,"Cattle, dairy",828147,
AUT,Austria,1993,"Cattle, non-dairy",1505740,
AUT,Austria,1993,"Goats",47276,
AUT,Austria,1993,"Horses",64924,
AUT,Austria,1993,"Sheep and Goats",381111,
AUT,Austria,1993,"Sheep",333835,
AUT,Austria,1993,"Swine",3819798,
AUT,Austria,1994,"Cattle",2328518,
AUT,Austria,1994,"Cattle, dairy",809977,
AUT,Austria,1994,"Cattle, non-dairy",1518541,
AUT,Austria,1994,"Goats",49749,
AUT,Austria,1994,"Horses",66748,
AUT,Austria,1994,"Sheep and Goats",391893,
AUT,Austria,1994,"Sheep",342144,
AUT,Austria,1994,"Swine",3728991,
AUT,Austria,1995,"Cattle",2325825,
AUT,Austria,1995,"Cattle, dairy",706494,
AUT,Austria,1995,"Cattle, non-dairy",1619331,
AUT,Austria,1995,"Goats",54228,
AUT,Austria,1995,"Horses",72491,
AUT,Austria,1995,"Sheep and Goats",419478,
AUT,Austria,1995,"Sheep",365250,
AUT,Austria,1995,"Swine",3706185,
AUT,Austria,1996,"Cattle",2271949,
AUT,Austria,1996,"Cattle, dairy",697521,
AUT,Austria,1996,"Cattle, non-dairy",1574428,
AUT,Austria,1996,"Goats",54471,
AUT,Austria,1996,"Horses",73234,
AUT,Austria,1996,"Sheep and Goats",435332,
AUT,Austria,1996,"Sheep",380861,
AUT,Austria,1996,"Swine",3663747,
AUT,Austria,1997,"Cattle",2197940,
AUT,Austria,1997,"Cattle, dairy",720377,
AUT,Austria,1997,"Cattle, non-dairy",1477563,
AUT,Austria,1997,"Goats",58340,
AUT,Austria,1997,"Horses",74170,
AUT,Austria,1997,"Sheep and Goats",441995,
AUT,Austria,1997,"Sheep",383655,
AUT,Austria,1997,"Swine",3679876,
AUT,Austria,1998,"Cattle",2171681,
AUT,Austria,1998,"Cattle, dairy",728718,
AUT,Austria,1998,"Cattle, non-dairy",1442963,
AUT,Austria,1998,"Goats",54244,
AUT,Austria,1998,"Horses",75347,
AUT,Austria,1998,"Sheep and Goats",415056,
AUT,Austria,1998,"Sheep",360812,
AUT,Austria,1998,"Swine",3810310,
AUT,Austria,1999,"Cattle",2152811,
AUT,Austria,1999,"Cattle, dairy",697903,
AUT,Austria,1999,"Cattle, non-dairy",1454908,
AUT,Austria,1999,"Goats",57993,
AUT,Austria,1999,"Horses",81566,
AUT,Austria,1999,"Sheep and Goats",410270,
AUT,Austria,1999,"Sheep",352277,
AUT,Austria,1999,"Swine",3433029,
AUT,Austria,2000,"Cattle",2155447,
AUT,Austria,2000,"Cattle, dairy",621002,
AUT,Austria,2000,"Cattle, non-dairy",1534445,
AUT,Austria,2000,"Goats",56105,
AUT,Austria,2000,"Horses",82943,
AUT,Austria,2000,"Sheep and Goats",395343,
AUT,Austria,2000,"Sheep",339238,
AUT,Austria,2000,"Swine",3347931,
AUT,Austria,2001,"Cattle",2118454,
AUT,Austria,2001,"Cattle, dairy",597981,
AUT,Austria,2001,"Cattle, non-dairy",1520473,
AUT,Austria,2001,"Goats",59452,
AUT,Austria,2001,"Horses",84319,
AUT,Austria,2001,"Sheep and Goats",379919,
AUT,Austria,2001,"Sheep",320467,
AUT,Austria,2001,"Swine",3440405,
AUT,Austria,2002,"Cattle",2066942,
AUT,Austria,2002,"Cattle, dairy",588971,
AUT,Austria,2002,"Cattle, non-dairy",1477971,
AUT,Austria,2002,"Goats",57842,
AUT,Austria,2002,"Horses",85696,
AUT,Austria,2002,"Sheep and Goats",362206,
AUT,Austria,2002,"Sheep",304364,
AUT,Austria,2002,"Swine",3304650,
AUT,Austria,2003,"Cattle",2052033,
AUT,Austria,2003,"Cattle, dairy",557877,
AUT,Austria,2003,"Cattle, non-dairy",1494156,
AUT,Austria,2003,"Goats",54607,
AUT,Austria,2003,"Horses",87072,
AUT,Austria,2003,"Sheep and Goats",380102,
AUT,Austria,2003,"Sheep",325495,
AUT,Austria,2003,"Swine",3244866,
AUT,Austria,2004,"Cattle",2050991,
AUT,Austria,2004,"Cattle, dairy",537953,
AUT,Austria,2004,"Cattle, non-dairy",1513038,
AUT,Austria,2004,"Goats",55523,
AUT,Austria,2004,"Horses",89816,
AUT,Austria,2004,"Sheep and Goats",382686,
AUT,Austria,2004,"Sheep",327163,
AUT,Austria,2004,"Swine",3125361,
AUT,Austria,2005,"Cattle",2010680,
AUT,Austria,2005,"Cattle, dairy",534417,
AUT,Austria,2005,"Cattle, non-dairy",1476263,
AUT,Austria,2005,"Goats",55100,
AUT,Austria,2005,"Horses",92560,
AUT,Austria,2005,"Sheep and Goats",380828,
AUT,Austria,2005,"Sheep",325728,
AUT,Austria,2005,"Swine",3169541,
AUT,Austria,2006,"Cattle",2002919,
AUT,Austria,2006,"Cattle, dairy",527421,
AUT,Austria,2006,"Cattle, non-dairy",1475498,
AUT,Austria,2006,"Goats",53108,
AUT,Austria,2006,"Horses",95304,
AUT,Austria,2006,"Sheep and Goats",365483,
AUT,Austria,2006,"Sheep",312375,
AUT,Austria,2006,"Swine",3139438,
AUT,Austria,2007,"Cattle",2000196,
AUT,Austria,2007,"Cattle, dairy",524500,
AUT,Austria,2007,"Cattle, non-dairy",1475696,
AUT,Austria,2007,"Goats",60487,
AUT,Austria,2007,"Horses",98048,
AUT,Austria,2007,"Sheep and Goats",411816,
AUT,Austria,2007,"Sheep",351329,
AUT,Austria,2007,"Swine",3286292,
AUT,Austria,2008,"Cattle",1997209,
AUT,Austria,2008,"Cattle, dairy",530230,
AUT,Austria,2008,"Cattle, non-dairy",1466979,
AUT,Austria,2008,"Goats",62490,
AUT,Austria,2008,"Horses",100792,
AUT,Austria,2008,"Sheep and Goats",395671,
AUT,Austria,2008,"Sheep",333181,
AUT,Austria,2008,"Swine",3064231,
AUT,Austria,2009,"Cattle",2026260,
AUT,Austria,2009,"Cattle, dairy",532976,
AUT,Austria,2009,"Cattle, non-dairy",1493284,
AUT,Austria,2009,"Goats",68188,
AUT,Austria,2009,"Horses",103536,
AUT,Austria,2009,"Sheep and Goats",412897,
AUT,Austria,2009,"Sheep",344709,
AUT,Austria,2009,"Swine",3136967,
AUT,Austria,2010,"Cattle",2013281,
AUT,Austria,2010,"Cattle, dairy",532735,
AUT,Austria,2010,"Cattle, non-dairy",1480546,
AUT,Austria,2010,"Goats",71768,
AUT,Austria,2010,"Horses",106280,
AUT,Austria,2010,"Sheep and Goats",430183,
AUT,Austria,2010,"Sheep",358415,
AUT,Austria,2010,"Swine",3134156,
AUT,Austria,2011,"Cattle",1976527,
AUT,Austria,2011,"Cattle, dairy",527393,
AUT,Austria,2011,"Cattle, non-dairy",1449134,
AUT,Austria,2011,"Goats",72358,
AUT,Austria,2011,"Horses",109024,
AUT,Austria,2011,"Sheep and Goats",433541,
AUT,Austria,2011,"Sheep",361183,
AUT,Austria,2011,"Swine",3004907,
AUT,Austria,2012,"Cattle",1955618,
AUT,Austria,2012,"Cattle, dairy",523369,
AUT,Austria,2012,"Cattle, non-dairy",1432249,
AUT,Austria,2012,"Goats",73212,
AUT,Austria,2012,"Horses",111768,
AUT,Austria,2012,"Sheep and Goats",437857,
AUT,Austria,2012,"Sheep",364645,
AUT,Austria,2012,"Swine",2983158,
AUT,Austria,2013,"Cattle",1958282,
AUT,Austria,2013,"Cattle, dairy",529560,
AUT,Austria,2013,"Cattle, non-dairy",1428722,
AUT,Austria,2013,"Goats",72068,
AUT,Austria,2013,"Horses",114512,
AUT,Austria,2013,"Sheep and Goats",429508,
AUT,Austria,2013,"Sheep",357440,
AUT,Austria,2013,"Swine",2895841,
AUT,Austria,2014,"Cattle",1961201,
AUT,Austria,2014,"Cattle, dairy",537744,
AUT,Austria,2014,"Cattle, non-dairy",1423457,
AUT,Austria,2014,"Goats",70705,
AUT,Austria,2014,"Horses",117256,
AUT,Austria,2014,"Sheep and Goats",419792,
AUT,Austria,2014,"Sheep",349087,
AUT,Austria,2014,"Swine",2868191,
AUT,Austria,2015,"Cattle",1957610,
AUT,Austria,2015,"Cattle, dairy",534098,
AUT,Austria,2015,"Cattle, non-dairy",1423512,
AUT,Austria,2015,"Goats",76620,
AUT,Austria,2015,"Horses",120000,
AUT,Austria,2015,"Sheep and Goats",430330,
AUT,Austria,2015,"Sheep",353710,
AUT,Austria,2015,"Swine",2845451,
AUT,Austria,2016,"Cattle",1954391,
AUT,Austria,2016,"Cattle, dairy",539867,
AUT,Austria,2016,"Cattle, non-dairy",1414524,
AUT,Austria,2016,"Goats",82735,
AUT,Austria,2016,"Horses",120000,
AUT,Austria,2016,"Sheep and Goats",461116,
AUT,Austria,2016,"Sheep",378381,
AUT,Austria,2016,"Swine",2792803,
AUT,Austria,2017,"Cattle",1943476,
AUT,Austria,2017,"Cattle, dairy",543421,
AUT,Austria,2017,"Cattle, non-dairy",1400055,
AUT,Austria,2017,"Goats",91134,
AUT,Austria,2017,"Horses",130000,
AUT,Austria,2017,"Sheep and Goats",492614,
AUT,Austria,2017,"Sheep",401480,
AUT,Austria,2017,"Swine",2820082,
AUT,Austria,2018,"Cattle",1912808,
AUT,Austria,2018,"Cattle, dairy",532873,
AUT,Austria,2018,"Cattle, non-dairy",1379935,
AUT,Austria,2018,"Goats",91536,
AUT,Austria,2018,"Horses",130000,
AUT,Austria,2018,"Sheep and Goats",497872,
AUT,Austria,2018,"Sheep",406336,
AUT,Austria,2018,"Swine",2776574,
AUT,Austria,2019,"Cattle",1879520,
AUT,Austria,2019,"Cattle, dairy",524068,
AUT,Austria,2019,"Cattle, non-dairy",1355452,
AUT,Austria,2019,"Goats",92504,
AUT,Austria,2019,"Horses",130000,
AUT,Austria,2019,"Sheep and Goats",495162,
AUT,Austria,2019,"Sheep",402658,
AUT,Austria,2019,"Swine",2773225,
BEL,Belgium,2000,"Cattle",2993812,
BEL,Belgium,2000,"Cattle, dairy",581461,
BEL,Belgium,2000,"Cattle, non-dairy",2412351,
BEL,Belgium,2000,"Goats",13226,
BEL,Belgium,2000,"Horses",41437,
BEL,Belgium,2000,"Mules and Asses",4878,
BEL,Belgium,2000,"Sheep and Goats",137169,
BEL,Belgium,2000,"Sheep",123943,
BEL,Belgium,2000,"Swine",6895301,
BEL,Belgium,2001,"Cattle",2977244,
BEL,Belgium,2001,"Cattle, dairy",570797,
BEL,Belgium,2001,"Cattle, non-dairy",2406447,
BEL,Belgium,2001,"Goats",16747,
BEL,Belgium,2001,"Horses",42251,
BEL,Belgium,2001,"Mules and Asses",5271,
BEL,Belgium,2001,"Sheep and Goats",136781,
BEL,Belgium,2001,"Sheep",120034,
BEL,Belgium,2001,"Swine",6626643,
BEL,Belgium,2002,"Cattle",2849771,
BEL,Belgium,2002,"Cattle, dairy",551008,
BEL,Belgium,2002,"Cattle, non-dairy",2298763,
BEL,Belgium,2002,"Goats",20261,
BEL,Belgium,2002,"Horses",42353,
BEL,Belgium,2002,"Mules and Asses",5986,
BEL,Belgium,2002,"Sheep and Goats",134307,
BEL,Belgium,2002,"Sheep",114046,
BEL,Belgium,2002,"Swine",6495558,
BEL,Belgium,2003,"Cattle",2739003,
BEL,Belgium,2003,"Cattle, dairy",532289,
BEL,Belgium,2003,"Cattle, non-dairy",2206714,
BEL,Belgium,2003,"Goats",29697,
BEL,Belgium,2003,"Horses",42741,
BEL,Belgium,2003,"Mules and Asses",6141,
BEL,Belgium,2003,"Sheep and Goats",138979,
BEL,Belgium,2003,"Sheep",109282,
BEL,Belgium,2003,"Swine",6333941,
BEL,Belgium,2004,"Cattle",2701406,
BEL,Belgium,2004,"Cattle, dairy",515064,
BEL,Belgium,2004,"Cattle, non-dairy",2186342,
BEL,Belgium,2004,"Goats",25299,
BEL,Belgium,2004,"Horses",42692,
